date,channel,impressions,clicks,sessions,conversions,spend,campaign
2026-09-07,paid_social,12000,132,112,4,118.8,
2026-09-07,cpc,8000,256,230,12,358.4,
2026-09-07,email,4000,240,228,9,0.0,
2026-09-07,organic,,,420,13,,
2026-09-08,paid_social,12000,132,112,4,118.8,
2026-09-08,cpc,8000,256,230,12,358.4,
2026-09-08,email,4000,240,228,9,0.0,
2026-09-08,organic,,,420,13,,
2026-09-09,paid_social,12000,132,112,4,118.8,
2026-09-09,cpc,8000,256,230,12,358.4,
2026-09-09,email,4000,240,228,9,0.0,
2026-09-09,organic,,,420,13,,
2026-09-10,paid_social,12000,132,112,4,118.8,
2026-09-10,cpc,8000,256,230,12,358.4,
2026-09-10,email,4000,240,228,9,0.0,
2026-09-10,organic,,,420,13,,
2026-09-11,paid_social,12000,132,112,4,118.8,
2026-09-11,cpc,8000,256,230,12,358.4,
2026-09-11,email,4000,240,228,9,0.0,
2026-09-11,organic,,,420,13,,
2026-09-12,paid_social,9600,105,89,3,94.5,
2026-09-12,cpc,6400,204,183,9,285.6,
2026-09-12,email,3200,192,182,7,0.0,
2026-09-12,organic,,,336,10,,
2026-09-13,paid_social,9600,105,89,3,94.5,
2026-09-13,cpc,6400,204,183,9,285.6,
2026-09-13,email,3200,192,182,7,0.0,
2026-09-13,organic,,,336,10,,
2026-09-14,paid_social,13680,150,127,4,135.0,spring-launch
2026-09-14,cpc,9120,291,261,15,357.37,brand-search
2026-09-14,email,4560,273,259,12,0.0,spring-launch
2026-09-14,organic,,,478,14,,
2026-09-15,paid_social,13919,153,130,4,137.7,spring-launch
2026-09-15,cpc,9280,296,266,15,357.24,brand-search
2026-09-15,email,4640,278,264,12,0.0,spring-launch
2026-09-15,organic,,,487,15,,
2026-09-16,paid_social,14160,155,131,4,139.5,spring-launch
2026-09-16,cpc,9440,302,271,16,358.31,brand-search
2026-09-16,email,4720,283,268,13,0.0,spring-launch
2026-09-16,organic,,,495,15,,
2026-09-17,paid_social,14400,158,134,4,142.2,spring-launch
2026-09-17,cpc,9600,307,276,17,358.17,brand-search
2026-09-17,email,4800,288,273,13,0.0,spring-launch
2026-09-17,organic,,,504,15,,
2026-09-18,paid_social,14640,161,136,4,144.9,spring-launch
2026-09-18,cpc,9760,312,280,17,358.03,brand-search
2026-09-18,email,4880,292,277,14,0.0,spring-launch
2026-09-18,organic,,,512,15,,
2026-09-19,paid_social,11904,130,110,3,117.0,spring-launch
2026-09-19,cpc,7936,253,227,14,285.65,brand-search
2026-09-19,email,3968,238,226,11,0.0,spring-launch
2026-09-19,organic,,,416,12,,
2026-09-20,paid_social,12096,133,113,4,119.7,spring-launch
2026-09-20,cpc,8064,258,232,15,286.67,brand-search
2026-09-20,email,4032,241,228,11,0.0,spring-launch
2026-09-20,organic,,,423,13,,
